Username,ProfileLink,DisplayName,Races,Points,Team
specialpurple,https://www.nitromath.com/racer/specialpurple,Draky ya,42,743,R3M1X
ba8f60104797addd20e52d72484846d4,https://www.nitromath.com/racer/ba8f60104797addd20e52d72484846d4,Zavier,40,743,TOSONT
abdullahalamri,https://www.nitromath.com/racer/abdullahalamri,abdullahalamri,34,701,4MATH
ad53e655b11c01ab087147129c0fd319,https://www.nitromath.com/racer/ad53e655b11c01ab087147129c0fd319,IndigoMaroonBonobo,32,696,SAVVEE
29991f9a735ca05889c30a5b7e6bad4c,https://www.nitromath.com/racer/29991f9a735ca05889c30a5b7e6bad4c,CharismaticTealScorpion,35,691,COBRAS
40f0f38f4d2e8a56a7f10cde2683c417,https://www.nitromath.com/racer/40f0f38f4d2e8a56a7f10cde2683c417,navy and lake,34,681,JLFU
fc7744a52fe2bc52a1767dcd1eedab71,https://www.nitromath.com/racer/fc7744a52fe2bc52a1767dcd1eedab71,PLS GOLD,73,673,SERVNT
vrooom16,https://www.nitromath.com/racer/vrooom16,Archimedes,36,672,DKC
01bcc129c5432fdd901f4014be9df15b,https://www.nitromath.com/racer/01bcc129c5432fdd901f4014be9df15b,Gru Armaando,26,658,BOB151
radioshock,https://www.nitromath.com/racer/radioshock,XCelior,24,655,12312B
dfe49df5d8b8b8aa9094dcd2d2137c8c,https://www.nitromath.com/racer/dfe49df5d8b8b8aa9094dcd2d2137c8c,KingKumba1993,22,655,GRIFF
ike_fan,https://www.nitromath.com/racer/ike_fan,A W E S O M E,32,650,SHIP
9a00d7ac76ad6d607b9d678b952943cc,https://www.nitromath.com/racer/9a00d7ac76ad6d607b9d678b952943cc,MVP JOKIC,30,646,BOB151
e184dfe4e97ea142d716c270de108540,https://www.nitromath.com/racer/e184dfe4e97ea142d716c270de108540,Yonaz_DoesMath,30,644,T2WIN
pernita,https://www.nitromath.com/racer/pernita,Barbie,32,641,PIGGY
f9979e942b9b45f08caf6660c712c866,https://www.nitromath.com/racer/f9979e942b9b45f08caf6660c712c866,jackson,27,631,IM2
b748aef7c248dece91a7e07a4e978e46,https://www.nitromath.com/racer/b748aef7c248dece91a7e07a4e978e46,ApricotIndigoCricket,34,624,CC
dn3423,https://www.nitromath.com/racer/dn3423,dn3423,26,623,JE4US
ljgthegoat,https://www.nitromath.com/racer/ljgthegoat,God is Lord of Lords,27,620,JDFU
856b404da18da77d3739167093f4af4c,https://www.nitromath.com/racer/856b404da18da77d3739167093f4af4c,cm punk,27,617,CC
jaguar377,https://www.nitromath.com/racer/jaguar377,Celebrimbor,27,604,SHIP
ily2thestars,https://www.nitromath.com/racer/ily2thestars,SugarBeeX3,21,602,X3
9b9196229a7e9a0036186fe65271235f,https://www.nitromath.com/racer/9b9196229a7e9a0036186fe65271235f,Brace for impact,22,596,CRAZZZ
toeagle2114,https://www.nitromath.com/racer/toeagle2114,Curryisthegoat,32,595,JLFU
64915ce4220c274aaacf8fa677d97db4,https://www.nitromath.com/racer/64915ce4220c274aaacf8fa677d97db4,Shaquille oatmealisw,28,593,SERVNT
2fc35cc676f274c5b78d720e22fa2161,https://www.nitromath.com/racer/2fc35cc676f274c5b78d720e22fa2161,ROBLOX,27,586,ALSLUG
47cf6c7952a621f6a846a5e4ee6197ee,https://www.nitromath.com/racer/47cf6c7952a621f6a846a5e4ee6197ee,OutgoingOliveOrca,28,578,T2WIN
dannykel,https://www.nitromath.com/racer/dannykel,Rigid2k,23,572,FASZ
b0118fd8c2a8f90ae16ce5cc34e46d1a,https://www.nitromath.com/racer/b0118fd8c2a8f90ae16ce5cc34e46d1a,Adam the WINNNNER 7,26,565,TOSONT
sammonq,https://www.nitromath.com/racer/sammonq,Join Math Team4 cash,46,564,4MATH
d4db3091c2291f8660f1cebe53745335,https://www.nitromath.com/racer/d4db3091c2291f8660f1cebe53745335,Books are awesome,23,564,NITR0
e4fd3e54642bf2aad1f06c701042989c,https://www.nitromath.com/racer/e4fd3e54642bf2aad1f06c701042989c,LETS_GO,22,563,APLU5
e25058f47069d00b33c79a2a7c246aa3,https://www.nitromath.com/racer/e25058f47069d00b33c79a2a7c246aa3,RadiatedDog14,27,561,T2WIN
f9c80a5d3789046c04fca96b7e9e7d44,https://www.nitromath.com/racer/f9c80a5d3789046c04fca96b7e9e7d44,the dog,25,560,BEAST
ec934eb4732dafd3f8478510bb45f9ff,https://www.nitromath.com/racer/ec934eb4732dafd3f8478510bb45f9ff,C R A Z Y,44,559,WMDSM
b21839f9106d7e22303fcb1df43d7897,https://www.nitromath.com/racer/b21839f9106d7e22303fcb1df43d7897,goatbest124 sos,25,555,CC
beanboi78906,https://www.nitromath.com/racer/beanboi78906,BMartin786,25,544,4MATH
cricketipl100,https://www.nitromath.com/racer/cricketipl100,B_L_U_E_G_U_Y,28,536,MATHNL
c2602b78fa194e7d51c031e2bc35c20a,https://www.nitromath.com/racer/c2602b78fa194e7d51c031e2bc35c20a,did i hear 6 7,38,529,ETYPEC
declancoleman,https://www.nitromath.com/racer/declancoleman,Wal-mart-employeee,29,528,IM2
surferdudehj,https://www.nitromath.com/racer/surferdudehj,Matthew Neal,20,523,DM8TE
069aac79cd90d694b08076e7d6fe0826,https://www.nitromath.com/racer/069aac79cd90d694b08076e7d6fe0826,patrickmahomesgoat,26,518,N8TH
