Username,ProfileLink,DisplayName,Races,Points,Title,Team
9348b57d63a4e8b3dd6e3fffe6d174dc,https://www.nitromath.com/racer/9348b57d63a4e8b3dd6e3fffe6d174dc,ItzJades,60,1754,Hot Hot Hot!,CF02
noahaidi,https://www.nitromath.com/racer/noahaidi,Check my profile 36K,88,1752,Lucky Number 7,IMT
6c06528244ad64aefba2d52e42baf327,https://www.nitromath.com/racer/6c06528244ad64aefba2d52e42baf327,HKgirl101,106,1751,I Love Cats,DORYA
dc754820f31cda53784950b971587f07,https://www.nitromath.com/racer/dc754820f31cda53784950b971587f07,Be Positive Always,76,1742,Mystery Man,NFL881
e9e6d3a10b2d94ead58a44e4aadefaae,https://www.nitromath.com/racer/e9e6d3a10b2d94ead58a44e4aadefaae,RUBYSPORT,105,1702,Filthy Rich,SHIP
29991f9a735ca05889c30a5b7e6bad4c,https://www.nitromath.com/racer/29991f9a735ca05889c30a5b7e6bad4c,CharismaticTealScorpion,80,1689,Down to the Wire,COBRAS
dsmith390,https://www.nitromath.com/racer/dsmith390,dsmith390,74,1661,Millionaire,N8TH
bryan453678,https://www.nitromath.com/racer/bryan453678,Bryan f,68,1654,[SKIPWRD],NFL
ece4789a58e7b64a1cd02d6fb2781231,https://www.nitromath.com/racer/ece4789a58e7b64a1cd02d6fb2781231,Jashan Madara,98,1647,NITRO.EXE,TEDDY
drmilletistheog,https://www.nitromath.com/racer/drmilletistheog,Hypex 18k-,224,1630,Lightspeed,R3M1X
purdueplayer0,https://www.nitromath.com/racer/purdueplayer0,Purdueplayer,73,1593,Trail Master,GRIFF
780b809a2c2059ddd6baaa90fb04432c,https://www.nitromath.com/racer/780b809a2c2059ddd6baaa90fb04432c,Sbc Landon,56,1591,2022 Grad,T2WIN
willkids,https://www.nitromath.com/racer/willkids,For Jesus ONLY,71,1559,Solid Gold,SERVNT
jlee824,https://www.nitromath.com/racer/jlee824,MASTER-DOG-2024,52,1550,Encore,FASZ
brodacious456,https://www.nitromath.com/racer/brodacious456,PC4 x MD9 x PW,349,1470,Turbo Tycoon,WL
c9d2a3b9a65f9e5ce1676d53749486e8,https://www.nitromath.com/racer/c9d2a3b9a65f9e5ce1676d53749486e8,PoliteGrayFrog,75,1465,Burnin' Rubber,NITR0
3c0295d8913c87d35b4e48912b2a13cf,https://www.nitromath.com/racer/3c0295d8913c87d35b4e48912b2a13cf,Homie104,50,1437,Original Gangster,TCLIP
me_say_hi_to_u,https://www.nitromath.com/racer/me_say_hi_to_u,i_said_hi-RETIRING,57,1420,Millionaire,CONM
oksskkswkakk,https://www.nitromath.com/racer/oksskkswkakk,Vee                                               ,195,1415,Encore,A3
55a8ea67a8e48f75ee16e242caa5945e,https://www.nitromath.com/racer/55a8ea67a8e48f75ee16e242caa5945e,faster than light,78,1414,Ace Accelerator,KINGS
05c80bef28c75c85193518c921295da5,https://www.nitromath.com/racer/05c80bef28c75c85193518c921295da5,Jerry_YT,125,1413,Ace Accelerator,SHIP
